feature,importance,std
RSI,0.12477564059478656,0.00938599459067197
MACD_Hist,0.025765604121360797,0.008824135539954965
Volume_Change,0.007623494043579759,0.006341049973864435
MACD,0.006810036947280685,0.004892203479156556
Price_Range,0.0037267619794406626,0.005164798580424889
Sentiment_Volatility,0.003606040382128617,0.002779959549532049
Volume,0.0035587779951931297,0.0057003481614469114
Close,0.0029721986282611247,0.0007249901217535185
Sentiment,0.0017237586991628805,0.0029012954238808604
Open,0.0012980235075631618,0.0010388348954693098
Low,-0.0008240321339638701,0.0012947537303161017
High,-0.0009281580021326619,0.001506416271314646
MACD_Signal,-0.004269419387714279,0.003093265269722501
Log_Return,-0.03010559163560682,0.006534795149511471
Pct_Change,-0.03910862615622972,0.004212027411879608
